"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"12/12/2024","12/12/2024","12/13/2024","BKNG","Booking Holdings
CUSIP: 09857L108","Buy","0.02","$5,275.65","($105.51)"
"12/12/2024","12/12/2024","12/13/2024","NFLX","Netflix
CUSIP: 64110L106","Buy","0.075617","$926.12","($70.03)"
"12/12/2024","12/12/2024","12/13/2024","CMG","Chipotle
CUSIP: 169656105","Sell","5","$66.32","$331.60"
"12/6/2024","12/6/2024","12/6/2024","VOO","Stock Lending","SLIP","","","$0.01"
"12/6/2024","12/6/2024","12/6/2024","ADC","Stock Lending","SLIP","","","$0.01"
"12/6/2024","12/6/2024","12/6/2024","SCHG","Stock Lending","SLIP","","","$0.01"
"12/6/2024","12/6/2024","12/6/2024","SCHD","Stock Lending","SLIP","","","$0.01"
"12/6/2024","12/6/2024","12/6/2024","NOBL","Stock Lending","SLIP","","","$0.01"
"12/6/2024","12/6/2024","12/6/2024","RSP","Stock Lending","SLIP","","","$0.01"
"12/5/2024","12/5/2024","12/6/2024","SCHD","Schwab US Dividend Equity ETF
CUSIP: 808524797","Buy","1","$28.96","($28.96)"
"12/5/2024","12/5/2024","12/6/2024","VOO","Vanguard S&P 500 ETF
CUSIP: 922908363","Buy","0.25","$557.49","($139.37)"
"12/5/2024","12/5/2024","12/6/2024","SCHG","Schwab US Large-Cap Growth ETF
CUSIP: 808524300","Buy","6","$28.54","($171.24)"
"11/15/2024","11/15/2024","11/15/2024","COST","Cash Div: R/D 2024-11-01 P/D 2024-11-15 - 0.5 shares at 1.16","CDIV","","","$0.58"
"11/15/2024","11/15/2024","11/15/2024","O","Cash Div: R/D 2024-11-01 P/D 2024-11-15 - 4 shares at 0.2635","CDIV","","","$1.05"
"11/14/2024","11/14/2024","11/14/2024","ADC","Cash Div: R/D 2024-10-31 P/D 2024-11-14 - 1 shares at 0.253","CDIV","","","$0.25"
"11/8/2024","11/8/2024","11/8/2024","MA","Cash Div: R/D 2024-10-09 P/D 2024-11-08 - 0.5 shares at 0.66","CDIV","","","$0.33"
"11/7/2024","11/7/2024","11/7/2024","RSP","Stock Lending","SLIP","","","$0.01"
"11/7/2024","11/7/2024","11/7/2024","TXRH","Stock Lending","SLIP","","","$0.01"
"11/7/2024","11/7/2024","11/7/2024","ARM","Stock Lending","SLIP","","","$0.01"
"11/7/2024","11/7/2024","11/7/2024","SCHD","Stock Lending","SLIP","","","$0.01"
"11/7/2024","11/7/2024","11/7/2024","SCHG","Stock Lending","SLIP","","","$0.01"
"11/7/2024","11/7/2024","11/7/2024","ADC","Stock Lending","SLIP","","","$0.01"
"11/7/2024","11/7/2024","11/7/2024","NOBL","Stock Lending","SLIP","","","$0.01"
"10/15/2024","10/15/2024","10/15/2024","O","Cash Div: R/D 2024-10-01 P/D 2024-10-15 - 4 shares at 0.2635","CDIV","","","$1.05"
"10/15/2024","10/15/2024","10/15/2024","ADC","Cash Div: R/D 2024-09-30 P/D 2024-10-15 - 1 shares at 0.25","CDIV","","","$0.25"
"10/11/2024","10/11/2024","10/15/2024","ARM","Arm Holdings plc
CUSIP: 042068205","Sell","1","$151.44","$151.44"
"10/11/2024","10/11/2024","10/11/2024","SCHD","Schwab US Dividend Equity ETF
CUSIP: 808524797","SPL","20","",""
"10/11/2024","10/11/2024","10/11/2024","SCHG","Schwab US Large-Cap Growth ETF
CUSIP: 808524300","SPL","48","",""
"10/8/2024","10/8/2024","10/8/2024","CRM","Cash Div: R/D 2024-09-18 P/D 2024-10-08 - 1 shares at 0.4","CDIV","","","$0.40"
"10/7/2024","10/7/2024","10/7/2024","SCHD","Stock Lending","SLIP","","","$0.01"
"10/7/2024","10/7/2024","10/7/2024","TXRH","Stock Lending","SLIP","","","$0.01"
"10/7/2024","10/7/2024","10/7/2024","NOBL","Stock Lending","SLIP","","","$0.01"
"10/7/2024","10/7/2024","10/7/2024","SCHG","Stock Lending","SLIP","","","$0.01"
